county,date,labor.force,employed,unemployment,unemployment.rate
Sutter County,2004-01-01,39200,34200,5000,12.8
Tehama County,2004-01-01,25330,23100,2230,8.8
Trinity County,2004-01-01,5190,4410,770,14.8
Tulare County,2004-01-01,180900,155600,25300,14
Tuolumne County,2004-01-01,25450,23400,2050,8.1
Ventura County,2004-01-01,409500,384900,24600,6
Yolo County,2004-01-01,93100,85700,7300,7.8
Yuba County,2004-01-01,24900,21800,3100,12.4
Alameda County,2005-01-01,735200,694800,40400,5.5
Alpine County,2005-01-01,730,690,40,5.5
Amador County,2005-01-01,16910,15790,1120,6.6
Butte County,2005-01-01,97400,89700,7800,8
Calaveras County,2005-01-01,20240,18730,1510,7.5
Colusa County,2005-01-01,9290,7330,1970,21.2
Contra Costa County,2005-01-01,510400,483800,26600,5.2
Del Norte County,2005-01-01,10610,9770,850,8
El Dorado County,2005-01-01,90800,85800,5000,5.5
Fresno County,2005-01-01,397400,352700,44700,11.2
Glenn County,2005-01-01,11230,10010,1230,11
Humboldt County,2005-01-01,59600,55400,4200,7
Imperial County,2005-01-01,59300,50000,9300,15.7
Inyo County,2005-01-01,9250,8720,530,5.7
Kern County,2005-01-01,315500,283200,32300,10.2
Kings County,2005-01-01,52800,46400,6400,12.1
Lake County,2005-01-01,25300,22840,2460,9.7
Lassen County,2005-01-01,12410,11160,1250,10.1
Los Angeles County,2005-01-01,4749700,4457800,291900,6.1
Madera County,2005-01-01,60000,54100,5900,9.8
Marin County,2005-01-01,129200,123800,5300,4.1
Mariposa County,2005-01-01,8130,7370,760,9.3
Mendocino County,2005-01-01,43320,40220,3100,7.2
Merced County,2005-01-01,95900,83700,12200,12.7
Modoc County,2005-01-01,3820,3370,450,11.8
Mono County,2005-01-01,9220,8810,410,4.4
Monterey County,2005-01-01,194900,172000,22900,11.7
Napa County,2005-01-01,69400,65700,3700,5.3
Nevada County,2005-01-01,49480,46770,2700,5.5
Orange County,2005-01-01,1575700,1513100,62500,4
Placer County,2005-01-01,163200,155600,7600,4.7
Plumas County,2005-01-01,9570,8290,1280,13.4
Riverside County,2005-01-01,843200,795300,47900,5.7
Sacramento County,2005-01-01,660800,625100,35800,5.4
San Benito County,2005-01-01,25100,22400,2700,10.8
San Bernardino County,2005-01-01,842400,795600,46800,5.6
San Diego County,2005-01-01,1484100,1416600,67500,4.5
San Francisco County,2005-01-01,414600,391900,22700,5.5
San Joaquin County,2005-01-01,279000,253000,26000,9.3
San Luis Obispo County,2005-01-01,129100,122900,6300,4.9
San Mateo County,2005-01-01,360400,344300,16100,4.5
Santa Barbara County,2005-01-01,206300,195200,11100,5.4
Santa Clara County,2005-01-01,815900,768500,47400,5.8
Santa Cruz County,2005-01-01,140900,128800,12100,8.6
Shasta County,2005-01-01,82100,75000,7100,8.6
Sierra County,2005-01-01,1530,1340,200,13.1
Siskiyou County,2005-01-01,18630,16350,2280,12.2
Solano County,2005-01-01,205200,192900,12200,5.9
Sonoma County,2005-01-01,251300,239000,12300,4.9
Stanislaus County,2005-01-01,221700,199700,22000,9.9
Sutter County,2005-01-01,39100,34600,4500,11.5
