county,date,labor.force,employed,unemployment,unemployment.rate
Fresno County,1993-02-01,352600,285900,66700,18.9
Glenn County,1993-02-01,11440,9040,2400,21
Humboldt County,1993-02-01,59700,52800,6900,11.6
Imperial County,1993-02-01,54700,40600,14100,25.8
Inyo County,1993-02-01,7030,6090,930,13.2
Kern County,1993-02-01,268600,220700,47900,17.8
Kings County,1993-02-01,41000,33100,7900,19.3
Lake County,1993-02-01,22040,18590,3450,15.7
Lassen County,1993-02-01,11200,9250,1950,17.4
Los Angeles County,1993-02-01,4395400,3926800,468700,10.7
Madera County,1993-02-01,45800,37500,8300,18.1
Marin County,1993-02-01,129800,122800,7100,5.5
Mariposa County,1993-02-01,6750,5800,950,14.1
Mendocino County,1993-02-01,38690,33010,5680,14.7
Merced County,1993-02-01,82300,63900,18400,22.4
Modoc County,1993-02-01,3830,3100,730,19.1
Mono County,1993-02-01,6760,6330,430,6.4
Monterey County,1993-02-01,177700,142300,35400,19.9
Napa County,1993-02-01,57400,52500,4900,8.5
Nevada County,1993-02-01,39540,35580,3960,10
Orange County,1993-02-01,1321700,1229300,92300,7
Placer County,1993-02-01,93700,85100,8600,9.2
Plumas County,1993-02-01,9370,7140,2230,23.8
Riverside County,1993-02-01,582200,510300,71900,12.3
Sacramento County,1993-02-01,530300,482700,47600,9
San Benito County,1993-02-01,21200,16600,4700,22.2
San Bernardino County,1993-02-01,675300,607400,68000,10.1
San Diego County,1993-02-01,1218600,1123100,95500,7.8
San Francisco County,1993-02-01,401800,373700,28000,7
San Joaquin County,1993-02-01,237700,198000,39700,16.7
San Luis Obispo County,1993-02-01,98300,89200,9200,9.4
San Mateo County,1993-02-01,366000,346200,19800,5.4
Santa Barbara County,1993-02-01,192000,175300,16700,8.7
Santa Clara County,1993-02-01,848800,787700,61200,7.2
Santa Cruz County,1993-02-01,138200,118700,19600,14.2
Shasta County,1993-02-01,72700,60800,11900,16.4
Sierra County,1993-02-01,1630,1350,280,17.2
Siskiyou County,1993-02-01,19190,15170,4030,21
Solano County,1993-02-01,173200,157700,15500,8.9
Sonoma County,1993-02-01,219200,202400,16700,7.6
Stanislaus County,1993-02-01,190300,153000,37300,19.6
Sutter County,1993-02-01,33800,25600,8300,24.6
Tehama County,1993-02-01,22960,19160,3800,16.6
Trinity County,1993-02-01,5170,3920,1250,24.2
Tulare County,1993-02-01,155600,124700,30900,19.9
Tuolumne County,1993-02-01,20690,17530,3160,15.3
Ventura County,1993-02-01,372800,339600,33200,8.9
Yolo County,1993-02-01,82100,73500,8600,10.5
Yuba County,1993-02-01,22000,17200,4700,21.4
Alameda County,1994-02-01,682600,637600,45000,6.6
Alpine County,1994-02-01,680,640,30,4.4
Amador County,1994-02-01,12670,11360,1310,10.3
Butte County,1994-02-01,83900,73400,10500,12.5
Calaveras County,1994-02-01,14610,12680,1940,13.3
Colusa County,1994-02-01,8070,5650,2420,30
Contra Costa County,1994-02-01,452800,423400,29400,6.5
Del Norte County,1994-02-01,10040,8680,1370,13.6
El Dorado County,1994-02-01,71100,64900,6100,8.6
Fresno County,1994-02-01,357200,295100,62100,17.4
Glenn County,1994-02-01,11400,9200,2200,19.3
Humboldt County,1994-02-01,59400,53000,6400,10.8
Imperial County,1994-02-01,57600,42900,14700,25.5
Inyo County,1994-02-01,7020,6080,930,13.2
Kern County,1994-02-01,266700,221400,45300,17
Kings County,1994-02-01,40000,32500,7500,18.8
Lake County,1994-02-01,22220,18920,3300,14.9
Lassen County,1994-02-01,11160,9330,1830,16.4
Los Angeles County,1994-02-01,4302600,3861900,440700,10.2
Madera County,1994-02-01,47800,39600,8200,17.2
Marin County,1994-02-01,129200,122900,6300,4.9
Mariposa County,1994-02-01,6750,5830,920,13.6
Mendocino County,1994-02-01,39640,34560,5080,12.8
Merced County,1994-02-01,83600,66100,17500,20.9
Modoc County,1994-02-01,4100,3430,680,16.6
Mono County,1994-02-01,6690,6060,630,9.4
Monterey County,1994-02-01,176200,142300,33900,19.2
Napa County,1994-02-01,57000,52800,4200,7.4
Nevada County,1994-02-01,41540,37950,3580,8.6
Orange County,1994-02-01,1331800,1248000,83800,6.3
Placer County,1994-02-01,98800,91300,7500,7.6
Plumas County,1994-02-01,9670,7530,2140,22.1
Riverside County,1994-02-01,598500,531100,67400,11.3
Sacramento County,1994-02-01,534100,490500,43600,8.2
San Benito County,1994-02-01,21200,17100,4100,19.3
San Bernardino County,1994-02-01,673200,609500,63700,9.5
San Diego County,1994-02-01,1232000,1140400,91600,7.4
San Francisco County,1994-02-01,402300,375000,27300,6.8
San Joaquin County,1994-02-01,237700,200500,37200,15.6
San Luis Obispo County,1994-02-01,98700,90600,8100,8.2
San Mateo County,1994-02-01,370100,351200,18800,5.1
Santa Barbara County,1994-02-01,194700,177900,16800,8.6
Santa Clara County,1994-02-01,858000,798500,59600,6.9
Santa Cruz County,1994-02-01,138600,119200,19400,14
Shasta County,1994-02-01,73000,62300,10700,14.7
Sierra County,1994-02-01,1670,1360,300,18
Siskiyou County,1994-02-01,19290,15680,3600,18.7
Solano County,1994-02-01,173000,158600,14400,8.3
Sonoma County,1994-02-01,221900,207300,14700,6.6
Stanislaus County,1994-02-01,191300,155200,36100,18.9
Sutter County,1994-02-01,34300,26800,7600,22.2
Tehama County,1994-02-01,23120,19830,3290,14.2
Trinity County,1994-02-01,5250,4120,1130,21.5
Tulare County,1994-02-01,160600,129200,31400,19.6
Tuolumne County,1994-02-01,21060,18240,2820,13.4
Ventura County,1994-02-01,381200,349100,32000,8.4
Yolo County,1994-02-01,85500,77500,7900,9.2
Yuba County,1994-02-01,21900,17400,4400,20.1
Alameda County,1995-02-01,676100,639300,36800,5.4
Alpine County,1995-02-01,780,750,30,3.8
Amador County,1995-02-01,12840,11670,1170,9.1
Butte County,1995-02-01,82800,73700,9100,11
Calaveras County,1995-02-01,13940,12240,1700,12.2
Colusa County,1995-02-01,8090,5750,2340,28.9
Contra Costa County,1995-02-01,453400,427600,25800,5.7
Del Norte County,1995-02-01,10110,8810,1310,13
El Dorado County,1995-02-01,72000,67000,5000,6.9
Fresno County,1995-02-01,359200,301400,57800,16.1
Glenn County,1995-02-01,11570,9720,1850,16
Humboldt County,1995-02-01,59200,53700,5500,9.3
Imperial County,1995-02-01,55900,43700,12200,21.8
Inyo County,1995-02-01,6910,6190,720,10.4
Kern County,1995-02-01,265400,225100,40300,15.2
Kings County,1995-02-01,40700,33400,7300,17.9
Lake County,1995-02-01,23000,20080,2920,12.7
Lassen County,1995-02-01,10930,9330,1600,14.6
Los Angeles County,1995-02-01,4274200,3937500,336700,7.9
Madera County,1995-02-01,48700,40800,7900,16.2
Marin County,1995-02-01,127100,121600,5500,4.3
Mariposa County,1995-02-01,6720,5880,840,12.5
Mendocino County,1995-02-01,39280,34740,4540,11.6
Merced County,1995-02-01,82600,66600,16000,19.4
Modoc County,1995-02-01,4190,3420,770,18.4
Mono County,1995-02-01,6550,6080,470,7.2
Monterey County,1995-02-01,172000,141500,30600,17.8
Napa County,1995-02-01,56900,53300,3600,6.3
Nevada County,1995-02-01,40520,37400,3120,7.7
Orange County,1995-02-01,1320300,1255800,64500,4.9
Placer County,1995-02-01,101700,95400,6300,6.2
Plumas County,1995-02-01,9440,7560,1880,19.9
Riverside County,1995-02-01,604500,550100,54400,9
Sacramento County,1995-02-01,533900,496700,37200,7
San Benito County,1995-02-01,21900,18200,3700,16.9
San Bernardino County,1995-02-01,673100,622700,50500,7.5
San Diego County,1995-02-01,1216500,1140900,75700,6.2
San Francisco County,1995-02-01,392500,369700,22800,5.8
San Joaquin County,1995-02-01,237500,205200,32300,13.6
San Luis Obispo County,1995-02-01,100900,93900,7000,6.9
San Mateo County,1995-02-01,365800,350200,15600,4.3
Santa Barbara County,1995-02-01,191300,176700,14600,7.6
Santa Clara County,1995-02-01,848100,802400,45700,5.4
Santa Cruz County,1995-02-01,137200,120000,17200,12.5
Shasta County,1995-02-01,71700,62200,9600,13.4
Sierra County,1995-02-01,1710,1470,240,14
Siskiyou County,1995-02-01,18910,15590,3320,17.6
Solano County,1995-02-01,170500,156800,13600,8
Sonoma County,1995-02-01,222600,209100,13500,6.1
Stanislaus County,1995-02-01,188700,156400,32300,17.1
Sutter County,1995-02-01,34400,27200,7300,21.2
Tehama County,1995-02-01,23480,20800,2680,11.4
Trinity County,1995-02-01,5290,4260,1020,19.3
Tulare County,1995-02-01,158300,130000,28300,17.9
Tuolumne County,1995-02-01,20120,17700,2420,12
Ventura County,1995-02-01,378900,353800,25100,6.6
Yolo County,1995-02-01,85400,78100,7300,8.5
Yuba County,1995-02-01,20600,17100,3500,17
Alameda County,1996-02-01,671300,636400,35000,5.2
Alpine County,1996-02-01,720,680,40,5.6
Amador County,1996-02-01,12970,11910,1060,8.2
Butte County,1996-02-01,82100,73400,8700,10.6
Calaveras County,1996-02-01,13880,12330,1550,11.2
Colusa County,1996-02-01,8520,5940,2580,30.3
Contra Costa County,1996-02-01,454800,429800,24900,5.5
Del Norte County,1996-02-01,9990,8800,1190,11.9
El Dorado County,1996-02-01,73500,68300,5200,7.1
Fresno County,1996-02-01,361800,303200,58600,16.2
Glenn County,1996-02-01,11110,8970,2140,19.3
Humboldt County,1996-02-01,60100,54800,5400,9
Imperial County,1996-02-01,57600,42500,15100,26.2
Inyo County,1996-02-01,6900,6190,710,10.3
Kern County,1996-02-01,267800,227600,40200,15
Kings County,1996-02-01,42700,34900,7800,18.3
Lake County,1996-02-01,23050,19940,3110,13.5
Lassen County,1996-02-01,11700,9870,1830,15.6
Los Angeles County,1996-02-01,4290300,3917400,372900,8.7
Madera County,1996-02-01,49800,42200,7600,15.3
Marin County,1996-02-01,127900,123000,4900,3.8
Mariposa County,1996-02-01,7090,6200,890,12.6
Mendocino County,1996-02-01,40540,36250,4290,10.6
Merced County,1996-02-01,80100,62900,17200,21.5
Modoc County,1996-02-01,4160,3430,730,17.5
Mono County,1996-02-01,6470,5900,580,9
Monterey County,1996-02-01,175800,144800,31000,17.6
Napa County,1996-02-01,56500,53000,3500,6.2
Nevada County,1996-02-01,39750,36580,3170,8
Orange County,1996-02-01,1326700,1267600,59100,4.5
Placer County,1996-02-01,105300,98800,6500,6.2
Plumas County,1996-02-01,9600,7690,1910,19.9
Riverside County,1996-02-01,610000,559100,50800,8.3
Sacramento County,1996-02-01,536200,499200,37000,6.9
San Benito County,1996-02-01,23100,19500,3600,15.6
San Bernardino County,1996-02-01,682400,629900,52500,7.7
San Diego County,1996-02-01,1225500,1154300,71300,5.8
San Francisco County,1996-02-01,395600,375300,20300,5.1
San Joaquin County,1996-02-01,235600,203000,32500,13.8
San Luis Obispo County,1996-02-01,100300,93900,6400,6.4
San Mateo County,1996-02-01,372000,358400,13600,3.7
Santa Barbara County,1996-02-01,188300,175400,12900,6.9
Santa Clara County,1996-02-01,877200,842800,34400,3.9
Santa Cruz County,1996-02-01,136100,120000,16100,11.8
Shasta County,1996-02-01,71500,62300,9100,12.7
Sierra County,1996-02-01,1620,1330,290,17.9
Siskiyou County,1996-02-01,18490,14970,3530,19.1
Solano County,1996-02-01,170100,155500,14600,8.6
Sonoma County,1996-02-01,225900,214200,11700,5.2
Stanislaus County,1996-02-01,189400,157400,32000,16.9
Sutter County,1996-02-01,34000,26700,7300,21.5
Tehama County,1996-02-01,22830,19820,3010,13.2
Trinity County,1996-02-01,5040,3990,1060,21
Tulare County,1996-02-01,155200,127100,28100,18.1
Tuolumne County,1996-02-01,19280,16700,2580,13.4
Ventura County,1996-02-01,376600,351000,25600,6.8
Yolo County,1996-02-01,85600,78100,7500,8.8
Yuba County,1996-02-01,20200,16700,3600,17.8
Alameda County,1997-02-01,686900,654700,32300,4.7
Alpine County,1997-02-01,730,690,40,5.5
Amador County,1997-02-01,13020,12090,930,7.1
Butte County,1997-02-01,84100,75600,8500,10.1
Calaveras County,1997-02-01,14110,12640,1460,10.3
Colusa County,1997-02-01,8850,6260,2590,29.3
Contra Costa County,1997-02-01,465200,444200,21000,4.5
Del Norte County,1997-02-01,10100,8860,1240,12.3
El Dorado County,1997-02-01,75400,70300,5100,6.8
Fresno County,1997-02-01,366600,307300,59300,16.2
Glenn County,1997-02-01,11010,9250,1770,16.1
Humboldt County,1997-02-01,60400,55200,5200,8.6
Imperial County,1997-02-01,55200,42700,12500,22.6
Inyo County,1997-02-01,7180,6480,700,9.7
Kern County,1997-02-01,273500,234700,38800,14.2
Kings County,1997-02-01,42800,35800,7100,16.6
Lake County,1997-02-01,22510,19540,2970,13.2
Lassen County,1997-02-01,11920,10280,1640,13.8
Los Angeles County,1997-02-01,4370200,4040200,330000,7.6
Madera County,1997-02-01,50700,43000,7800,15.4
Marin County,1997-02-01,129500,125600,3900,3
Mariposa County,1997-02-01,5780,4620,1160,20.1
Mendocino County,1997-02-01,40660,36130,4540,11.2
Merced County,1997-02-01,82200,65100,17100,20.8
Modoc County,1997-02-01,3900,3300,600,15.4
Mono County,1997-02-01,6690,6200,490,7.3
Monterey County,1997-02-01,181100,150100,31000,17.1
Napa County,1997-02-01,57900,54300,3600,6.2
Nevada County,1997-02-01,40560,37520,3040,7.5
Orange County,1997-02-01,1350300,1302700,47700,3.5
Placer County,1997-02-01,108700,102800,5900,5.4
Plumas County,1997-02-01,9520,7850,1660,17.4
Riverside County,1997-02-01,632500,583800,48800,7.7
Sacramento County,1997-02-01,543900,510800,33100,6.1
San Benito County,1997-02-01,25500,21800,3700,14.5
San Bernardino County,1997-02-01,698000,652100,45900,6.6
San Diego County,1997-02-01,1257100,1199000,58100,4.6
San Francisco County,1997-02-01,402700,386900,15700,3.9
San Joaquin County,1997-02-01,240000,208600,31400,13.1
San Luis Obispo County,1997-02-01,102400,96700,5600,5.5
San Mateo County,1997-02-01,380500,369300,11200,2.9
Santa Barbara County,1997-02-01,192200,179900,12300,6.4
Santa Clara County,1997-02-01,912300,881400,30900,3.4
Santa Cruz County,1997-02-01,140500,124500,16000,11.4
Shasta County,1997-02-01,71900,63600,8300,11.5
Sierra County,1997-02-01,1610,1340,270,16.8
Siskiyou County,1997-02-01,18300,15280,3020,16.5
Solano County,1997-02-01,173900,161000,12900,7.4
Sonoma County,1997-02-01,233400,223000,10400,4.5
Stanislaus County,1997-02-01,194000,162900,31000,16
Sutter County,1997-02-01,34800,27700,7100,20.4
Tehama County,1997-02-01,23430,20840,2590,11.1
Trinity County,1997-02-01,5080,4070,1010,19.9
Tulare County,1997-02-01,158300,130500,27800,17.6
Tuolumne County,1997-02-01,19810,17650,2160,10.9
Ventura County,1997-02-01,376500,352500,24100,6.4
Yolo County,1997-02-01,85700,78600,7000,8.2
Yuba County,1997-02-01,20000,16800,3200,16
Alameda County,1998-02-01,698700,670300,28500,4.1
Alpine County,1998-02-01,740,700,40,5.4
Amador County,1998-02-01,13140,12240,900,6.8
Butte County,1998-02-01,85200,76500,8700,10.2
Calaveras County,1998-02-01,13420,11920,1500,11.2
Colusa County,1998-02-01,8540,5680,2860,33.5
Contra Costa County,1998-02-01,476100,456900,19200,4
Del Norte County,1998-02-01,10010,8650,1360,13.6
El Dorado County,1998-02-01,76600,72000,4600,6
Fresno County,1998-02-01,364100,301900,62100,17.1
Glenn County,1998-02-01,10290,8510,1780,17.3
Humboldt County,1998-02-01,61100,55700,5400,8.8
Imperial County,1998-02-01,53800,42100,11700,21.7
Inyo County,1998-02-01,7240,6670,570,7.9
Kern County,1998-02-01,274500,236800,37600,13.7
Kings County,1998-02-01,41400,33900,7500,18.1
Lake County,1998-02-01,23220,20530,2700,11.6
Lassen County,1998-02-01,11610,10070,1540,13.3
Los Angeles County,1998-02-01,4495600,4209500,286100,6.4
Madera County,1998-02-01,49900,42800,7100,14.2
Marin County,1998-02-01,131600,128300,3300,2.5
Mariposa County,1998-02-01,6710,5990,710,10.6
Mendocino County,1998-02-01,41350,37040,4310,10.4
Merced County,1998-02-01,84200,67600,16600,19.7
Modoc County,1998-02-01,3840,3180,660,17.2
Mono County,1998-02-01,6860,6450,400,5.8
Monterey County,1998-02-01,183900,151800,32100,17.5
Napa County,1998-02-01,59100,56100,3000,5.1
Nevada County,1998-02-01,41450,38740,2710,6.5
Orange County,1998-02-01,1416500,1376200,40300,2.8
Placer County,1998-02-01,112600,107000,5600,5
Plumas County,1998-02-01,9550,8000,1550,16.2
Riverside County,1998-02-01,650800,607700,43100,6.6
Sacramento County,1998-02-01,559400,528700,30800,5.5
San Benito County,1998-02-01,25500,21800,3700,14.5
San Bernardino County,1998-02-01,711900,671000,40900,5.7
San Diego County,1998-02-01,1300100,1254200,45800,3.5
San Francisco County,1998-02-01,409900,395000,14900,3.6
San Joaquin County,1998-02-01,243500,212200,31200,12.8
San Luis Obispo County,1998-02-01,108500,103700,4800,4.4
San Mateo County,1998-02-01,387400,377900,9500,2.5
Santa Barbara County,1998-02-01,192000,181500,10500,5.5
Santa Clara County,1998-02-01,955000,927300,27700,2.9
Santa Cruz County,1998-02-01,139600,125200,14400,10.3
Shasta County,1998-02-01,72200,63800,8400,11.6
Sierra County,1998-02-01,1580,1290,280,17.7
Siskiyou County,1998-02-01,18320,15300,3010,16.4
Solano County,1998-02-01,177600,166000,11500,6.5
Sonoma County,1998-02-01,241400,231500,9900,4.1
Stanislaus County,1998-02-01,197100,167800,29300,14.9
Sutter County,1998-02-01,35600,28300,7300,20.5
Tehama County,1998-02-01,23720,21090,2640,11.1
Trinity County,1998-02-01,5070,4090,980,19.3
Tulare County,1998-02-01,160000,132100,27900,17.4
Tuolumne County,1998-02-01,19860,17750,2110,10.6
Ventura County,1998-02-01,381000,360200,20800,5.5
Yolo County,1998-02-01,86600,80100,6500,7.5
Yuba County,1998-02-01,20400,17000,3500,17.2
Alameda County,1999-02-01,710600,683500,27100,3.8
Alpine County,1999-02-01,750,690,60,8
Amador County,1999-02-01,13120,12290,830,6.3
Butte County,1999-02-01,85400,78000,7300,8.5
Calaveras County,1999-02-01,14350,13040,1300,9.1
Colusa County,1999-02-01,8640,6350,2300,26.6
Contra Costa County,1999-02-01,483800,467400,16400,3.4
Del Norte County,1999-02-01,9930,8890,1040,10.5
El Dorado County,1999-02-01,79200,75500,3800,4.8
Fresno County,1999-02-01,370100,308700,61400,16.6
Glenn County,1999-02-01,10330,8890,1440,13.9
Humboldt County,1999-02-01,60900,56000,4900,8
Imperial County,1999-02-01,54900,43800,11100,20.2
Inyo County,1999-02-01,7080,6540,540,7.6
Kern County,1999-02-01,275000,237000,38000,13.8
Kings County,1999-02-01,43000,35300,7700,17.9
Lake County,1999-02-01,22910,20590,2320,10.1
Lassen County,1999-02-01,11350,10090,1260,11.1
Los Angeles County,1999-02-01,4549400,4265700,283700,6.2
Madera County,1999-02-01,51000,44100,6800,13.3
Marin County,1999-02-01,134100,131200,2900,2.2
Mariposa County,1999-02-01,6300,5580,710,11.3
Mendocino County,1999-02-01,40380,36380,4000,9.9
Merced County,1999-02-01,82700,67600,15100,18.3
Modoc County,1999-02-01,3950,3410,540,13.7
Mono County,1999-02-01,6800,6440,370,5.4
Monterey County,1999-02-01,185200,155200,30000,16.2
Napa County,1999-02-01,61000,58400,2500,4.1
Nevada County,1999-02-01,42970,40740,2240,5.2
Orange County,1999-02-01,1456000,1416400,39600,2.7
Placer County,1999-02-01,119600,115000,4500,3.8
Plumas County,1999-02-01,9110,7670,1440,15.8
Riverside County,1999-02-01,680100,641600,38500,5.7
Sacramento County,1999-02-01,579100,552300,26800,4.6
San Benito County,1999-02-01,25800,22800,3000,11.6
San Bernardino County,1999-02-01,736800,699600,37200,5
San Diego County,1999-02-01,1340900,1296800,44100,3.3
San Francisco County,1999-02-01,417200,403800,13500,3.2
San Joaquin County,1999-02-01,245800,218000,27900,11.4
San Luis Obispo County,1999-02-01,109200,105200,4000,3.7
San Mateo County,1999-02-01,394800,386300,8500,2.2
Santa Barbara County,1999-02-01,195300,185500,9800,5
Santa Clara County,1999-02-01,959100,925600,33500,3.5
Santa Cruz County,1999-02-01,139500,126000,13500,9.7
Shasta County,1999-02-01,71600,64600,6900,9.6
Sierra County,1999-02-01,1510,1280,230,15.2
Siskiyou County,1999-02-01,17750,15040,2710,15.3
Solano County,1999-02-01,185200,175100,10100,5.5
Sonoma County,1999-02-01,246900,239000,7800,3.2
Stanislaus County,1999-02-01,198700,172700,26000,13.1
Sutter County,1999-02-01,35400,28900,6400,18.1
Tehama County,1999-02-01,23740,21560,2180,9.2
Trinity County,1999-02-01,4800,3950,850,17.7
Tulare County,1999-02-01,161200,129600,31600,19.6
Tuolumne County,1999-02-01,20030,18190,1840,9.2
Ventura County,1999-02-01,388900,369600,19200,4.9
Yolo County,1999-02-01,89500,83800,5600,6.3
Yuba County,1999-02-01,19900,16900,3000,15.1
Alameda County,2000-02-01,763900,735000,28900,3.8
Alpine County,2000-02-01,740,700,40,5.4
Amador County,2000-02-01,14990,14070,920,6.1
Butte County,2000-02-01,92700,86100,6600,7.1
Calaveras County,2000-02-01,17750,16550,1190,6.7
Colusa County,2000-02-01,8640,7030,1610,18.6
Contra Costa County,2000-02-01,498000,479100,18900,3.8
Del Norte County,2000-02-01,10180,9360,820,8.1
El Dorado County,2000-02-01,81900,78000,3900,4.8
Fresno County,2000-02-01,380800,333600,47200,12.4
Glenn County,2000-02-01,11140,9990,1150,10.3
Humboldt County,2000-02-01,60300,56300,4000,6.6
Imperial County,2000-02-01,55300,47900,7400,13.4
Inyo County,2000-02-01,8620,8160,460,5.3
Kern County,2000-02-01,288600,261400,27200,9.4
Kings County,2000-02-01,48100,42300,5800,12.1
Lake County,2000-02-01,22390,20450,1940,8.7
Lassen County,2000-02-01,11360,10280,1080,9.5
Los Angeles County,2000-02-01,4669900,4404100,265800,5.7
Madera County,2000-02-01,54700,49200,5400,9.9
Marin County,2000-02-01,140900,136700,4200,3
Mariposa County,2000-02-01,7550,6920,630,8.3
Mendocino County,2000-02-01,42330,39310,3020,7.1
Merced County,2000-02-01,87700,76800,10900,12.4
Modoc County,2000-02-01,3800,3400,400,10.5
Mono County,2000-02-01,7830,7500,330,4.2
Monterey County,2000-02-01,198800,176100,22700,11.4
Napa County,2000-02-01,65000,62400,2600,4
Nevada County,2000-02-01,45310,43170,2140,4.7
Orange County,2000-02-01,1482500,1429300,53300,3.6
Placer County,2000-02-01,131400,126200,5200,4
Plumas County,2000-02-01,9150,8110,1050,11.5
Riverside County,2000-02-01,678200,642000,36200,5.3
Sacramento County,2000-02-01,605200,577000,28100,4.6
San Benito County,2000-02-01,27600,25300,2300,8.3
San Bernardino County,2000-02-01,737500,701600,35900,4.9
San Diego County,2000-02-01,1376900,1322400,54400,4
San Francisco County,2000-02-01,469200,453200,16000,3.4
San Joaquin County,2000-02-01,253400,232200,21200,8.4
San Luis Obispo County,2000-02-01,120800,115600,5200,4.3
San Mateo County,2000-02-01,395600,383800,11800,3
Santa Barbara County,2000-02-01,200700,190600,10100,5
Santa Clara County,2000-02-01,926200,894100,32100,3.5
Santa Cruz County,2000-02-01,145800,135400,10400,7.1
Shasta County,2000-02-01,73400,67900,5600,7.6
Sierra County,2000-02-01,1670,1520,150,9
Siskiyou County,2000-02-01,19030,17110,1920,10.1
Solano County,2000-02-01,192200,182000,10300,5.4
Sonoma County,2000-02-01,250600,241400,9200,3.7
Stanislaus County,2000-02-01,205000,186300,18700,9.1
Sutter County,2000-02-01,36500,31900,4600,12.6
Tehama County,2000-02-01,23360,21620,1740,7.4
Trinity County,2000-02-01,5060,4370,680,13.4
Tulare County,2000-02-01,169300,148700,20600,12.2
Tuolumne County,2000-02-01,22720,21070,1660,7.3
Ventura County,2000-02-01,390900,373400,17500,4.5
Yolo County,2000-02-01,86700,81100,5600,6.5
Yuba County,2000-02-01,23200,20800,2300,9.9
Alameda County,2001-02-01,781700,754000,27800,3.6
Alpine County,2001-02-01,790,740,40,5.1
Amador County,2001-02-01,15880,15030,850,5.4
Butte County,2001-02-01,94500,87800,6700,7.1
Calaveras County,2001-02-01,18360,17210,1150,6.3
Colusa County,2001-02-01,8750,7020,1730,19.8
Contra Costa County,2001-02-01,514400,496500,17900,3.5
Del Norte County,2001-02-01,10140,9230,910,9
El Dorado County,2001-02-01,83200,79600,3600,4.3
Fresno County,2001-02-01,381000,332000,49000,12.9
Glenn County,2001-02-01,10930,9730,1210,11.1
Humboldt County,2001-02-01,60400,56300,4100,6.8
Imperial County,2001-02-01,55500,47800,7600,13.7
Inyo County,2001-02-01,8870,8420,450,5.1
Kern County,2001-02-01,291100,262200,28900,9.9
Kings County,2001-02-01,49200,42700,6500,13.2
Lake County,2001-02-01,23270,21390,1880,8.1
Lassen County,2001-02-01,11560,10450,1110,9.6
Los Angeles County,2001-02-01,4740800,4507300,233500,4.9
Madera County,2001-02-01,52700,46900,5800,11
Marin County,2001-02-01,143900,139800,4100,2.8
Mariposa County,2001-02-01,7520,6930,590,7.8
Mendocino County,2001-02-01,43080,40180,2900,6.7
Merced County,2001-02-01,89700,78100,11600,12.9
Modoc County,2001-02-01,3750,3380,370,9.9
Mono County,2001-02-01,8240,7920,320,3.9
Monterey County,2001-02-01,197500,174400,23100,11.7
Napa County,2001-02-01,68700,66300,2300,3.3
Nevada County,2001-02-01,46110,44060,2050,4.4
Orange County,2001-02-01,1519300,1467600,51700,3.4
Placer County,2001-02-01,137200,132100,5100,3.7
Plumas County,2001-02-01,9340,8240,1100,11.8
Riverside County,2001-02-01,704200,667600,36600,5.2
Sacramento County,2001-02-01,617000,590000,27100,4.4
San Benito County,2001-02-01,28900,26800,2100,7.3
San Bernardino County,2001-02-01,756200,719800,36500,4.8
San Diego County,2001-02-01,1401000,1349000,52000,3.7
San Francisco County,2001-02-01,479300,460800,18500,3.9
San Joaquin County,2001-02-01,261000,239400,21600,8.3
San Luis Obispo County,2001-02-01,124700,119600,5100,4.1
San Mateo County,2001-02-01,402100,390800,11400,2.8
Santa Barbara County,2001-02-01,201100,191600,9500,4.7
Santa Clara County,2001-02-01,958900,931000,28000,2.9
Santa Cruz County,2001-02-01,149200,138800,10400,7
Shasta County,2001-02-01,75800,70200,5600,7.4
Sierra County,2001-02-01,1560,1370,200,12.8
Siskiyou County,2001-02-01,18580,16670,1910,10.3
Solano County,2001-02-01,194700,186000,8700,4.5
Sonoma County,2001-02-01,256900,248400,8500,3.3
Stanislaus County,2001-02-01,209600,189800,19800,9.4
Sutter County,2001-02-01,38000,33400,4700,12.4
Tehama County,2001-02-01,23750,21910,1840,7.7
Trinity County,2001-02-01,5210,4510,700,13.4
Tulare County,2001-02-01,171600,148500,23100,13.5
Tuolumne County,2001-02-01,23210,21600,1610,6.9
Ventura County,2001-02-01,398200,380900,17300,4.3
Yolo County,2001-02-01,88100,82900,5200,5.9
Yuba County,2001-02-01,24300,21900,2400,9.9
Alameda County,2002-02-01,777000,726700,50300,6.5
Alpine County,2002-02-01,780,730,40,5.1
Amador County,2002-02-01,16410,15450,970,5.9
Butte County,2002-02-01,97100,89500,7700,7.9
Calaveras County,2002-02-01,19150,17880,1280,6.7
Colusa County,2002-02-01,9250,7460,1780,19.2
Contra Costa County,2002-02-01,513600,486400,27200,5.3
Del Norte County,2002-02-01,9920,8960,960,9.7
El Dorado County,2002-02-01,85800,81200,4500,5.2
Fresno County,2002-02-01,392600,341000,51600,13.1
Glenn County,2002-02-01,10920,9680,1240,11.4
Humboldt County,2002-02-01,60700,56300,4400,7.2
Imperial County,2002-02-01,56900,50000,6900,12.1
Inyo County,2002-02-01,9240,8720,520,5.6
Kern County,2002-02-01,297800,265100,32700,11
Kings County,2002-02-01,50700,43800,6800,13.4
Lake County,2002-02-01,25120,22880,2240,8.9
Lassen County,2002-02-01,11950,10810,1130,9.5
Los Angeles County,2002-02-01,4781500,4460400,321200,6.7
Madera County,2002-02-01,54700,48000,6700,12.2
Marin County,2002-02-01,136300,130000,6300,4.6
