state.fips,county.fips,report.month.19,labor.force.19,unemployment.19,unemployment.rate.19,report.month.20,labor.force.20,unemployment.20,unemployment.rate.20,unemp.rate.diff
48,187,2019-09-01,81896,2344,2.9,2020-09-01,81296,5152,6.3,3.4
48,231,2019-09-01,43756,1496,3.4,2020-09-01,44007,3006,6.8,3.4
48,233,2019-09-01,8727,385,4.4,2020-09-01,8422,653,7.8,3.4
48,303,2019-09-01,158475,4303,2.7,2020-09-01,158042,9669,6.1,3.4
48,425,2019-09-01,4393,153,3.5,2020-09-01,4346,299,6.9,3.4
48,499,2019-09-01,17866,679,3.8,2020-09-01,17598,1275,7.2,3.4
51,029,2019-09-01,6543,208,3.2,2020-09-01,6278,416,6.6,3.4
51,033,2019-09-01,15344,440,2.9,2020-09-01,14816,931,6.3,3.4
51,197,2019-09-01,13792,437,3.2,2020-09-01,13379,882,6.6,3.4
51,550,2019-09-01,123785,3370,2.7,2020-09-01,119842,7267,6.1,3.4
53,047,2019-09-01,21356,905,4.2,2020-09-01,18104,1371,7.6,3.4
54,085,2019-09-01,4424,197,4.5,2020-09-01,4137,327,7.9,3.4
55,031,2019-09-01,22918,727,3.2,2020-09-01,23105,1525,6.6,3.4
56,005,2019-09-01,23123,875,3.8,2020-09-01,24009,1718,7.2,3.4
72,107,2019-09-01,4825,478,9.9,2020-09-01,4740,629,13.3,3.4
72,143,2019-09-01,9519,775,8.1,2020-09-01,9420,1088,11.5,3.4
02,105,2019-09-01,1306,84,6.4,2020-09-01,1099,107,9.7,3.3
05,015,2019-09-01,13110,349,2.7,2020-09-01,12596,758,6,3.3
05,091,2019-09-01,19693,730,3.7,2020-09-01,19589,1376,7,3.3
08,014,2019-09-01,40908,892,2.2,2020-09-01,40822,2243,5.5,3.3
08,109,2019-09-01,3696,139,3.8,2020-09-01,3394,241,7.1,3.3
10,005,2019-09-01,108531,3750,3.5,2020-09-01,108739,7431,6.8,3.3
12,057,2019-09-01,760926,22056,2.9,2020-09-01,740305,45644,6.2,3.3
16,005,2019-09-01,42462,1001,2.4,2020-09-01,42377,2413,5.7,3.3
16,061,2019-09-01,1681,64,3.8,2020-09-01,1762,125,7.1,3.3
17,085,2019-09-01,10923,350,3.2,2020-09-01,10643,690,6.5,3.3
18,003,2019-09-01,185894,4995,2.7,2020-09-01,184046,11134,6,3.3
18,041,2019-09-01,8620,391,4.5,2020-09-01,8486,661,7.8,3.3
22,007,2019-09-01,8933,541,6.1,2020-09-01,9162,864,9.4,3.3
22,017,2019-09-01,102984,5650,5.5,2020-09-01,105304,9223,8.8,3.3
22,101,2019-09-01,19948,1182,5.9,2020-09-01,19886,1834,9.2,3.3
24,047,2019-09-01,25534,1174,4.6,2020-09-01,23539,1856,7.9,3.3
26,009,2019-09-01,10369,371,3.6,2020-09-01,10866,752,6.9,3.3
26,055,2019-09-01,49992,1309,2.6,2020-09-01,52908,3110,5.9,3.3
26,059,2019-09-01,20372,704,3.5,2020-09-01,20279,1386,6.8,3.3
26,067,2019-09-01,30166,811,2.7,2020-09-01,29731,1788,6,3.3
26,093,2019-09-01,105180,3273,3.1,2020-09-01,98966,6351,6.4,3.3
26,155,2019-09-01,33094,1095,3.3,2020-09-01,34014,2250,6.6,3.3
26,157,2019-09-01,23619,862,3.6,2020-09-01,24238,1684,6.9,3.3
26,161,2019-09-01,197583,5363,2.7,2020-09-01,202417,12182,6,3.3
30,021,2019-09-01,4534,113,2.5,2020-09-01,4551,262,5.8,3.3
32,510,2019-09-01,26399,933,3.5,2020-09-01,26455,1798,6.8,3.3
35,033,2019-09-01,2210,115,5.2,2020-09-01,2014,172,8.5,3.3
36,119,2019-09-01,483459,17795,3.7,2020-09-01,465245,32777,7,3.3
37,019,2019-09-01,54829,2491,4.5,2020-09-01,50851,3990,7.8,3.3
37,023,2019-09-01,41351,1381,3.3,2020-09-01,38712,2536,6.6,3.3
37,089,2019-09-01,55879,1591,2.8,2020-09-01,51918,3147,6.1,3.3
38,061,2019-09-01,7450,88,1.2,2020-09-01,7150,322,4.5,3.3
39,079,2019-09-01,12486,665,5.3,2020-09-01,12916,1113,8.6,3.3
39,163,2019-09-01,5516,265,4.8,2020-09-01,5628,457,8.1,3.3
42,011,2019-09-01,216562,9087,4.2,2020-09-01,222535,16738,7.5,3.3
45,043,2019-09-01,25643,644,2.5,2020-09-01,26174,1525,5.8,3.3
45,065,2019-09-01,3341,69,2.1,2020-09-01,3382,184,5.4,3.3
45,075,2019-09-01,34361,1442,4.2,2020-09-01,35984,2709,7.5,3.3
47,029,2019-09-01,15178,579,3.8,2020-09-01,14895,1062,7.1,3.3
47,113,2019-09-01,49559,1751,3.5,2020-09-01,49181,3328,6.8,3.3
48,055,2019-09-01,19776,652,3.3,2020-09-01,19934,1325,6.6,3.3
48,319,2019-09-01,1753,54,3.1,2020-09-01,1733,111,6.4,3.3
48,331,2019-09-01,9791,437,4.5,2020-09-01,9626,753,7.8,3.3
48,349,2019-09-01,24369,725,3,2020-09-01,23823,1497,6.3,3.3
48,395,2019-09-01,7745,263,3.4,2020-09-01,7928,528,6.7,3.3
49,051,2019-09-01,16127,359,2.2,2020-09-01,16191,895,5.5,3.3
51,053,2019-09-01,13735,414,3,2020-09-01,13240,832,6.3,3.3
51,520,2019-09-01,7196,251,3.5,2020-09-01,6893,471,6.8,3.3
51,600,2019-09-01,13580,259,1.9,2020-09-01,13072,684,5.2,3.3
51,720,2019-09-01,1694,60,3.5,2020-09-01,1661,113,6.8,3.3
51,810,2019-09-01,234938,5952,2.5,2020-09-01,227296,13187,5.8,3.3
53,015,2019-09-01,47521,2443,5.1,2020-09-01,48459,4092,8.4,3.3
54,049,2019-09-01,25721,1175,4.6,2020-09-01,25075,1984,7.9,3.3
54,095,2019-09-01,3153,221,7,2020-09-01,2955,303,10.3,3.3
01,003,2019-09-01,96754,2244,2.3,2020-09-01,96940,5355,5.5,3.2
04,005,2019-09-01,79489,3975,5,2020-09-01,71368,5845,8.2,3.2
05,065,2019-09-01,4948,248,5,2020-09-01,4782,393,8.2,3.2
05,141,2019-09-01,5762,260,4.5,2020-09-01,5657,433,7.7,3.2
05,143,2019-09-01,126003,2902,2.3,2020-09-01,124214,6884,5.5,3.2
08,007,2019-09-01,7166,176,2.5,2020-09-01,7114,403,5.7,3.2
08,013,2019-09-01,199949,4205,2.1,2020-09-01,193903,10298,5.3,3.2
08,045,2019-09-01,32424,720,2.2,2020-09-01,30284,1631,5.4,3.2
08,069,2019-09-01,209577,4243,2,2020-09-01,204671,10630,5.2,3.2
12,103,2019-09-01,501846,13635,2.7,2020-09-01,487540,28609,5.9,3.2
13,035,2019-09-01,10746,304,2.8,2020-09-01,10309,614,6,3.2
13,285,2019-09-01,37271,1075,2.9,2020-09-01,37082,2262,6.1,3.2
16,035,2019-09-01,2886,123,4.3,2020-09-01,3142,236,7.5,3.2
16,059,2019-09-01,3646,110,3,2020-09-01,3913,241,6.2,3.2
17,021,2019-09-01,14341,608,4.2,2020-09-01,14151,1049,7.4,3.2
17,155,2019-09-01,3048,117,3.8,2020-09-01,3129,218,7,3.2
20,015,2019-09-01,32385,916,2.8,2020-09-01,31819,1917,6,3.2
26,005,2019-09-01,62057,1574,2.5,2020-09-01,62616,3547,5.7,3.2
26,015,2019-09-01,31306,828,2.6,2020-09-01,31566,1843,5.8,3.2
26,111,2019-09-01,39783,1225,3.1,2020-09-01,39743,2496,6.3,3.2
26,141,2019-09-01,4975,227,4.6,2020-09-01,4958,388,7.8,3.2
26,159,2019-09-01,34919,1239,3.5,2020-09-01,35729,2405,6.7,3.2
27,037,2019-09-01,244138,6114,2.5,2020-09-01,238396,13638,5.7,3.2
28,119,2019-09-01,2360,183,7.8,2020-09-01,2246,248,11,3.2
28,151,2019-09-01,16887,1207,7.1,2020-09-01,17049,1759,10.3,3.2
34,039,2019-09-01,275394,9801,3.6,2020-09-01,263617,18019,6.8,3.2
35,047,2019-09-01,10878,614,5.6,2020-09-01,10573,933,8.8,3.2
36,059,2019-09-01,708021,23986,3.4,2020-09-01,691032,45354,6.6,3.2
37,147,2019-09-01,91113,3462,3.8,2020-09-01,86061,6020,7,3.2
39,015,2019-09-01,19624,889,4.5,2020-09-01,19521,1501,7.7,3.2
39,133,2019-09-01,87404,3413,3.9,2020-09-01,83483,5912,7.1,3.2
39,141,2019-09-01,35047,1346,3.8,2020-09-01,35220,2465,7,3.2
40,011,2019-09-01,4759,93,2,2020-09-01,4762,247,5.2,3.2
41,053,2019-09-01,40057,1380,3.4,2020-09-01,37991,2512,6.6,3.2
41,065,2019-09-01,12648,426,3.4,2020-09-01,12223,802,6.6,3.2
42,061,2019-09-01,20109,1019,5.1,2020-09-01,19660,1639,8.3,3.2
42,129,2019-09-01,181458,7303,4,2020-09-01,174869,12516,7.2,3.2
45,005,2019-09-01,2597,116,4.5,2020-09-01,2619,202,7.7,3.2
45,083,2019-09-01,153637,2753,1.8,2020-09-01,153458,7707,5,3.2
45,085,2019-09-01,43401,1062,2.4,2020-09-01,43530,2416,5.6,3.2
45,089,2019-09-01,11847,404,3.4,2020-09-01,12244,812,6.6,3.2
47,119,2019-09-01,50156,1284,2.6,2020-09-01,48955,2816,5.8,3.2
48,049,2019-09-01,15663,597,3.8,2020-09-01,15316,1078,7,3.2
48,099,2019-09-01,24193,909,3.8,2020-09-01,24197,1704,7,3.2
48,145,2019-09-01,6601,208,3.2,2020-09-01,6760,434,6.4,3.2
48,267,2019-09-01,1838,59,3.2,2020-09-01,1796,115,6.4,3.2
48,309,2019-09-01,120169,3858,3.2,2020-09-01,123420,7861,6.4,3.2
48,397,2019-09-01,52557,1602,3,2020-09-01,52723,3268,6.2,3.2
48,491,2019-09-01,315801,8771,2.8,2020-09-01,318077,19159,6,3.2
51,036,2019-09-01,3683,109,3,2020-09-01,3547,221,6.2,3.2
53,023,2019-09-01,929,37,4,2020-09-01,792,57,7.2,3.2
54,051,2019-09-01,14262,778,5.5,2020-09-01,12974,1127,8.7,3.2
54,083,2019-09-01,12510,618,4.9,2020-09-01,11875,960,8.1,3.2
72,127,2019-09-01,130535,7390,5.7,2020-09-01,131543,11732,8.9,3.2
01,011,2019-09-01,4951,168,3.4,2020-09-01,5036,326,6.5,3.1
01,081,2019-09-01,76841,1748,2.3,2020-09-01,75443,4089,5.4,3.1
01,089,2019-09-01,184550,3916,2.1,2020-09-01,183388,9469,5.2,3.1
01,127,2019-09-01,25184,696,2.8,2020-09-01,24801,1469,5.9,3.1
05,033,2019-09-01,26879,843,3.1,2020-09-01,25979,1603,6.2,3.1
05,047,2019-09-01,7565,245,3.2,2020-09-01,7360,465,6.3,3.1
05,061,2019-09-01,5728,160,2.8,2020-09-01,5448,322,5.9,3.1
05,075,2019-09-01,6901,267,3.9,2020-09-01,6909,485,7,3.1
05,081,2019-09-01,5507,221,4,2020-09-01,5453,387,7.1,3.1
05,099,2019-09-01,3670,140,3.8,2020-09-01,3556,245,6.9,3.1
05,125,2019-09-01,58765,1602,2.7,2020-09-01,56346,3260,5.8,3.1
06,063,2019-09-01,8194,384,4.7,2020-09-01,7539,591,7.8,3.1
08,015,2019-09-01,9840,194,2,2020-09-01,9207,471,5.1,3.1
08,029,2019-09-01,14893,378,2.5,2020-09-01,13929,779,5.6,3.1
08,041,2019-09-01,345755,9851,2.8,2020-09-01,350901,20778,5.9,3.1
08,067,2019-09-01,32716,639,2,2020-09-01,31056,1581,5.1,3.1
09,005,2019-09-01,105188,3188,3,2020-09-01,102893,6237,6.1,3.1
12,127,2019-09-01,256846,8176,3.2,2020-09-01,249512,15819,6.3,3.1
13,055,2019-09-01,10097,347,3.4,2020-09-01,9568,618,6.5,3.1
13,077,2019-09-01,74816,1898,2.5,2020-09-01,71770,4036,5.6,3.1
13,099,2019-09-01,4420,142,3.2,2020-09-01,4323,272,6.3,3.1
13,105,2019-09-01,7674,261,3.4,2020-09-01,7642,495,6.5,3.1
13,293,2019-09-01,11387,372,3.3,2020-09-01,11038,710,6.4,3.1
16,081,2019-09-01,6972,109,1.6,2020-09-01,6999,331,4.7,3.1
17,051,2019-09-01,9885,367,3.7,2020-09-01,9961,680,6.8,3.1
17,069,2019-09-01,1321,75,5.7,2020-09-01,1352,119,8.8,3.1
17,195,2019-09-01,28757,1140,4,2020-09-01,28027,1978,7.1,3.1
18,019,2019-09-01,61760,1784,2.9,2020-09-01,60199,3621,6,3.1
18,103,2019-09-01,15267,499,3.3,2020-09-01,14792,953,6.4,3.1
18,127,2019-09-01,87387,2846,3.3,2020-09-01,84722,5407,6.4,3.1
18,163,2019-09-01,94661,2544,2.7,2020-09-01,95765,5540,5.8,3.1
18,177,2019-09-01,30522,933,3.1,2020-09-01,30335,1889,6.2,3.1
20,035,2019-09-01,16317,473,2.9,2020-09-01,16840,1008,6,3.1
22,023,2019-09-01,3905,150,3.8,2020-09-01,3418,237,6.9,3.1
24,029,2019-09-01,9813,335,3.4,2020-09-01,8996,588,6.5,3.1
26,011,2019-09-01,6065,278,4.6,2020-09-01,6151,472,7.7,3.1
26,051,2019-09-01,9909,453,4.6,2020-09-01,9876,762,7.7,3.1
26,133,2019-09-01,11183,334,3,2020-09-01,11777,719,6.1,3.1
27,003,2019-09-01,199444,5121,2.6,2020-09-01,194702,11168,5.7,3.1
33,017,2019-09-01,74686,1651,2.2,2020-09-01,69209,3661,5.3,3.1
35,003,2019-09-01,1198,60,5,2020-09-01,1062,86,8.1,3.1
36,105,2019-09-01,37070,1309,3.5,2020-09-01,36786,2432,6.6,3.1
37,033,2019-09-01,9909,394,4,2020-09-01,9695,689,7.1,3.1
37,069,2019-09-01,31685,1125,3.6,2020-09-01,30194,2016,6.7,3.1
37,145,2019-09-01,18572,703,3.8,2020-09-01,17834,1227,6.9,3.1
37,183,2019-09-01,604029,17846,3,2020-09-01,574657,35177,6.1,3.1
37,195,2019-09-01,35032,1876,5.4,2020-09-01,34706,2967,8.5,3.1
39,087,2019-09-01,23911,1191,5,2020-09-01,23902,1931,8.1,3.1
41,001,2019-09-01,7171,233,3.2,2020-09-01,7058,447,6.3,3.1
42,039,2019-09-01,38485,1618,4.2,2020-09-01,36603,2675,7.3,3.1
42,091,2019-09-01,457737,15863,3.5,2020-09-01,439641,29020,6.6,3.1
42,095,2019-09-01,161635,6901,4.3,2020-09-01,157268,11573,7.4,3.1
45,039,2019-09-01,9551,320,3.4,2020-09-01,9709,630,6.5,3.1
45,057,2019-09-01,41201,1013,2.5,2020-09-01,40867,2291,5.6,3.1
48,019,2019-09-01,10126,335,3.3,2020-09-01,10016,639,6.4,3.1
48,037,2019-09-01,40095,1711,4.3,2020-09-01,40773,3028,7.4,3.1
48,077,2019-09-01,4946,150,3,2020-09-01,4854,296,6.1,3.1
48,093,2019-09-01,5660,173,3.1,2020-09-01,5553,343,6.2,3.1
48,125,2019-09-01,674,30,4.5,2020-09-01,656,50,7.6,3.1
48,181,2019-09-01,64164,1955,3,2020-09-01,65137,3986,6.1,3.1
48,353,2019-09-01,7241,209,2.9,2020-09-01,7195,429,6,3.1
48,375,2019-09-01,55314,1493,2.7,2020-09-01,54292,3168,5.8,3.1
48,433,2019-09-01,595,17,2.9,2020-09-01,547,33,6,3.1
48,487,2019-09-01,4974,160,3.2,2020-09-01,4886,307,6.3,3.1
49,035,2019-09-01,637283,13616,2.1,2020-09-01,654662,34072,5.2,3.1
51,041,2019-09-01,189081,4905,2.6,2020-09-01,181938,10311,5.7,3.1
51,103,2019-09-01,5464,158,2.9,2020-09-01,5414,326,6,3.1
51,149,2019-09-01,15220,489,3.2,2020-09-01,14650,927,6.3,3.1
51,185,2019-09-01,15638,644,4.1,2020-09-01,15132,1086,7.2,3.1
51,790,2019-09-01,12366,298,2.4,2020-09-01,12456,690,5.5,3.1
51,820,2019-09-01,10815,289,2.7,2020-09-01,10905,637,5.8,3.1
53,031,2019-09-01,13073,610,4.7,2020-09-01,13302,1040,7.8,3.1
53,041,2019-09-01,34740,1745,5,2020-09-01,34225,2761,8.1,3.1
54,021,2019-09-01,2370,129,5.4,2020-09-01,2304,195,8.5,3.1
55,001,2019-09-01,8173,292,3.6,2020-09-01,8057,542,6.7,3.1
56,009,2019-09-01,8949,235,2.6,2020-09-01,9229,529,5.7,3.1
72,029,2019-09-01,15696,1055,6.7,2020-09-01,15580,1526,9.8,3.1
72,145,2019-09-01,13020,1262,9.7,2020-09-01,12812,1641,12.8,3.1
01,041,2019-09-01,6597,148,2.2,2020-09-01,6759,350,5.2,3
05,043,2019-09-01,7923,353,4.5,2020-09-01,7600,570,7.5,3
05,111,2019-09-01,10359,326,3.1,2020-09-01,10430,633,6.1,3
08,079,2019-09-01,465,11,2.4,2020-09-01,352,19,5.4,3
13,067,2019-09-01,427185,11181,2.6,2020-09-01,409228,22753,5.6,3
13,127,2019-09-01,39568,1333,3.4,2020-09-01,34652,2207,6.4,3
13,263,2019-09-01,2791,99,3.5,2020-09-01,2678,174,6.5,3
16,057,2019-09-01,21028,448,2.1,2020-09-01,20648,1063,5.1,3
16,071,2019-09-01,2328,35,1.5,2020-09-01,2485,113,4.5,3
16,083,2019-09-01,41613,944,2.3,2020-09-01,43430,2316,5.3,3
17,083,2019-09-01,11041,410,3.7,2020-09-01,10825,722,6.7,3
17,145,2019-09-01,8302,372,4.5,2020-09-01,8291,623,7.5,3
18,155,2019-09-01,4975,145,2.9,2020-09-01,4867,286,5.9,3
19,113,2019-09-01,124906,3337,2.7,2020-09-01,114715,6586,5.7,3
20,045,2019-09-01,65602,1635,2.5,2020-09-01,64661,3582,5.5,3
20,061,2019-09-01,11280,440,3.9,2020-09-01,11622,800,6.9,3
22,099,2019-09-01,22201,1133,5.1,2020-09-01,22644,1838,8.1,3
24,043,2019-09-01,74728,2567,3.4,2020-09-01,69088,4421,6.4,3
26,029,2019-09-01,12848,416,3.2,2020-09-01,13138,809,6.2,3
26,151,2019-09-01,19517,688,3.5,2020-09-01,19698,1283,6.5,3
28,001,2019-09-01,11296,765,6.8,2020-09-01,11571,1131,9.8,3
28,021,2019-09-01,3031,320,10.6,2020-09-01,3097,421,13.6,3
28,107,2019-09-01,12556,789,6.3,2020-09-01,12694,1185,9.3,3
32,019,2019-09-01,23357,1012,4.3,2020-09-01,23157,1686,7.3,3
36,087,2019-09-01,155035,5438,3.5,2020-09-01,148442,9587,6.5,3
37,059,2019-09-01,20920,638,3,2020-09-01,19969,1194,6,3
37,075,2019-09-01,3280,147,4.5,2020-09-01,3441,259,7.5,3
37,121,2019-09-01,6134,234,3.8,2020-09-01,6049,409,6.8,3
37,197,2019-09-01,17904,534,3,2020-09-01,17170,1030,6,3
39,025,2019-09-01,107288,3819,3.6,2020-09-01,105931,6967,6.6,3
39,045,2019-09-01,78036,2790,3.6,2020-09-01,75894,5037,6.6,3
39,055,2019-09-01,49543,1531,3.1,2020-09-01,42851,2623,6.1,3
39,119,2019-09-01,39457,1687,4.3,2020-09-01,39579,2876,7.3,3
39,121,2019-09-01,4653,263,5.7,2020-09-01,4698,407,8.7,3
39,131,2019-09-01,10722,586,5.5,2020-09-01,10812,920,8.5,3
39,167,2019-09-01,27385,1302,4.8,2020-09-01,27653,2157,7.8,3
39,171,2019-09-01,18917,612,3.2,2020-09-01,18878,1168,6.2,3
40,077,2019-09-01,3131,193,6.2,2020-09-01,3202,294,9.2,3
40,149,2019-09-01,5241,174,3.3,2020-09-01,5230,327,6.3,3
42,059,2019-09-01,16661,782,4.7,2020-09-01,16392,1254,7.7,3
42,081,2019-09-01,57022,2556,4.5,2020-09-01,52421,3927,7.5,3
45,061,2019-09-01,6578,220,3.3,2020-09-01,6688,423,6.3,3
45,091,2019-09-01,140400,2788,2,2020-09-01,138950,6880,5,3
47,103,2019-09-01,16955,498,2.9,2020-09-01,15737,933,5.9,3
47,149,2019-09-01,187430,4507,2.4,2020-09-01,182414,9799,5.4,3
48,009,2019-09-01,4147,113,2.7,2020-09-01,4073,234,5.7,3
48,191,2019-09-01,1067,42,3.9,2020-09-01,1022,71,6.9,3
48,307,2019-09-01,3381,188,5.6,2020-09-01,3277,282,8.6,3
48,441,2019-09-01,67755,1884,2.8,2020-09-01,67648,3900,5.8,3
48,477,2019-09-01,15408,470,3.1,2020-09-01,15182,927,6.1,3
51,031,2019-09-01,26242,759,2.9,2020-09-01,24510,1451,5.9,3
51,051,2019-09-01,4807,211,4.4,2020-09-01,4658,343,7.4,3
51,107,2019-09-01,225145,4827,2.1,2020-09-01,215892,11073,5.1,3
51,117,2019-09-01,12363,475,3.8,2020-09-01,12072,820,6.8,3
51,177,2019-09-01,67761,1816,2.7,2020-09-01,64998,3690,5.7,3
51,840,2019-09-01,14921,372,2.5,2020-09-01,13966,770,5.5,3
53,009,2019-09-01,28756,1543,5.4,2020-09-01,29855,2513,8.4,3
53,029,2019-09-01,35896,1595,4.4,2020-09-01,35133,2617,7.4,3
54,001,2019-09-01,7253,360,5,2020-09-01,7014,561,8,3
54,075,2019-09-01,3757,153,4.1,2020-09-01,4047,289,7.1,3
54,093,2019-09-01,3366,144,4.3,2020-09-01,3207,233,7.3,3
54,099,2019-09-01,15981,750,4.7,2020-09-01,15810,1221,7.7,3
01,051,2019-09-01,37250,842,2.3,2020-09-01,36213,1879,5.2,2.9
05,037,2019-09-01,7470,284,3.8,2020-09-01,7276,486,6.7,2.9
05,045,2019-09-01,62060,1794,2.9,2020-09-01,59466,3473,5.8,2.9
05,083,2019-09-01,8599,380,4.4,2020-09-01,8168,593,7.3,2.9
06,035,2019-09-01,9831,334,3.4,2020-09-01,9148,572,6.3,2.9
06,091,2019-09-01,1385,52,3.8,2020-09-01,1254,84,6.7,2.9
08,077,2019-09-01,77499,2140,2.8,2020-09-01,79482,4535,5.7,2.9
08,085,2019-09-01,22335,540,2.4,2020-09-01,21683,1151,5.3,2.9
08,087,2019-09-01,16713,386,2.3,2020-09-01,15653,815,5.2,2.9
09,007,2019-09-01,93980,2809,3,2020-09-01,93271,5478,5.9,2.9
12,107,2019-09-01,26770,1050,3.9,2020-09-01,26048,1783,6.8,2.9
12,111,2019-09-01,146187,5489,3.8,2020-09-01,144765,9654,6.7,2.9
13,275,2019-09-01,16422,594,3.6,2020-09-01,16335,1061,6.5,2.9
17,005,2019-09-01,7850,257,3.3,2020-09-01,7690,478,6.2,2.9
17,019,2019-09-01,110714,3667,3.3,2020-09-01,112028,6915,6.2,2.9
17,113,2019-09-01,88942,3062,3.4,2020-09-01,87151,5469,6.3,2.9
17,137,2019-09-01,16610,573,3.4,2020-09-01,16576,1040,6.3,2.9
18,005,2019-09-01,44791,911,2,2020-09-01,43847,2131,4.9,2.9
18,035,2019-09-01,53971,1703,3.2,2020-09-01,52371,3203,6.1,2.9
22,089,2019-09-01,25081,1141,4.5,2020-09-01,24272,1786,7.4,2.9
23,015,2019-09-01,17085,365,2.1,2020-09-01,16566,821,5,2.9
23,025,2019-09-01,22145,750,3.4,2020-09-01,22002,1392,6.3,2.9
24,003,2019-09-01,318034,8931,2.8,2020-09-01,295720,16911,5.7,2.9
26,007,2019-09-01,13253,462,3.5,2020-09-01,13375,853,6.4,2.9
26,037,2019-09-01,40875,1034,2.5,2020-09-01,39635,2124,5.4,2.9
26,073,2019-09-01,34691,1151,3.3,2020-09-01,36068,2230,6.2,2.9
26,089,2019-09-01,10589,278,2.6,2020-09-01,11174,617,5.5,2.9
26,139,2019-09-01,159659,3988,2.5,2020-09-01,160296,8640,5.4,2.9
27,095,2019-09-01,12830,414,3.2,2020-09-01,12510,763,6.1,2.9
28,083,2019-09-01,9992,716,7.2,2020-09-01,9938,1007,10.1,2.9
33,005,2019-09-01,40703,979,2.4,2020-09-01,38913,2063,5.3,2.9
34,023,2019-09-01,439020,13250,3,2020-09-01,420714,25021,5.9,2.9
36,093,2019-09-01,76000,2733,3.6,2020-09-01,74849,4842,6.5,2.9
37,039,2019-09-01,11243,437,3.9,2020-09-01,11455,776,6.8,2.9
37,085,2019-09-01,53923,2184,4.1,2020-09-01,52561,3664,7,2.9
37,101,2019-09-01,100262,3232,3.2,2020-09-01,95561,5861,6.1,2.9
37,109,2019-09-01,44014,1357,3.1,2020-09-01,42074,2510,6,2.9
37,115,2019-09-01,10324,336,3.3,2020-09-01,9555,591,6.2,2.9
37,123,2019-09-01,11589,427,3.7,2020-09-01,11120,732,6.6,2.9
37,125,2019-09-01,43122,1432,3.3,2020-09-01,42420,2638,6.2,2.9
39,109,2019-09-01,54037,1924,3.6,2020-09-01,53501,3492,6.5,2.9
39,129,2019-09-01,26412,988,3.7,2020-09-01,25715,1693,6.6,2.9
39,149,2019-09-01,23959,827,3.5,2020-09-01,23985,1544,6.4,2.9
41,055,2019-09-01,976,28,2.9,2020-09-01,941,55,5.8,2.9
42,055,2019-09-01,78005,2810,3.6,2020-09-01,76922,4963,6.5,2.9
42,117,2019-09-01,19357,839,4.3,2020-09-01,18925,1367,7.2,2.9
45,029,2019-09-01,16720,392,2.3,2020-09-01,17030,879,5.2,2.9
45,035,2019-09-01,78280,1346,1.7,2020-09-01,77558,3561,4.6,2.9
45,079,2019-09-01,199327,3984,2,2020-09-01,201853,9931,4.9,2.9
47,117,2019-09-01,15792,479,3,2020-09-01,15491,919,5.9,2.9
48,059,2019-09-01,6180,184,3,2020-09-01,6168,364,5.9,2.9
48,137,2019-09-01,1140,23,2,2020-09-01,1094,54,4.9,2.9
48,149,2019-09-01,12099,313,2.6,2020-09-01,11828,649,5.5,2.9
48,173,2019-09-01,798,17,2.1,2020-09-01,756,38,5,2.9
48,207,2019-09-01,2308,75,3.2,2020-09-01,2204,135,6.1,2.9
48,223,2019-09-01,17661,508,2.9,2020-09-01,17180,990,5.8,2.9
51,007,2019-09-01,6295,166,2.6,2020-09-01,6035,332,5.5,2.9
51,035,2019-09-01,13236,417,3.2,2020-09-01,12996,794,6.1,2.9
51,125,2019-09-01,7600,185,2.4,2020-09-01,7246,382,5.3,2.9
51,135,2019-09-01,7266,185,2.5,2020-09-01,6897,370,5.4,2.9
51,143,2019-09-01,30089,954,3.2,2020-09-01,28960,1756,6.1,2.9
51,179,2019-09-01,72905,1855,2.5,2020-09-01,69853,3801,5.4,2.9
53,035,2019-09-01,127763,4993,3.9,2020-09-01,130022,8781,6.8,2.9
53,067,2019-09-01,142510,5938,4.2,2020-09-01,142205,10142,7.1,2.9
54,025,2019-09-01,16371,644,3.9,2020-09-01,15331,1045,6.8,2.9
54,037,2019-09-01,30712,894,2.9,2020-09-01,29989,1726,5.8,2.9
54,063,2019-09-01,6158,217,3.5,2020-09-01,5846,376,6.4,2.9
72,137,2019-09-01,28554,1683,5.9,2020-09-01,28215,2472,8.8,2.9
01,001,2019-09-01,26010,619,2.4,2020-09-01,25241,1316,5.2,2.8
01,021,2019-09-01,19885,467,2.3,2020-09-01,19410,981,5.1,2.8
01,045,2019-09-01,20774,534,2.6,2020-09-01,21596,1169,5.4,2.8
01,115,2019-09-01,40335,934,2.3,2020-09-01,39526,1997,5.1,2.8
02,130,2019-09-01,7466,368,4.9,2020-09-01,6330,485,7.7,2.8
05,007,2019-09-01,138373,3452,2.5,2020-09-01,135711,7184,5.3,2.8
05,019,2019-09-01,9813,346,3.5,2020-09-01,9453,600,6.3,2.8
05,053,2019-09-01,8360,255,3.1,2020-09-01,7984,472,5.9,2.8
05,055,2019-09-01,20142,667,3.3,2020-09-01,19753,1203,6.1,2.8
05,085,2019-09-01,34427,1198,3.5,2020-09-01,32916,2062,6.3,2.8
05,113,2019-09-01,8200,353,4.3,2020-09-01,7923,562,7.1,2.8
06,105,2019-09-01,4755,185,3.9,2020-09-01,4343,290,6.7,2.8
08,119,2019-09-01,12963,337,2.6,2020-09-01,13168,715,5.4,2.8
12,021,2019-09-01,177330,5719,3.2,2020-09-01,174307,10528,6,2.8
